id,name,attribution,description,count_rows,viewCount,downloadCount,category,tags,createdAt,updatedAt,dataUpdatedAt,metadataUpdatedAt,domain,attributionLink,webUri,dataUri
axvu-zc97,CSC Appeals Filed in Calendar Year,Civil Service Commission (CSC),"A list of all appeals filed with the Civil Service Commission in CYs beginning from CY 2014. This list includes both Civil Service Law Section 50 Disqualification Appeals and Civil Service Law Section 76 Disciplinary Appeals. 
The expiration dates listed here may not account for any extensions that have been granted. In particular, in response to the COVID-19 pandemic, the Department of Citywide Administrative Services (“DCAS”) extended multiple lists set to expire in 2020-2023 and these extensions are not reflected here. For further information on list expiration dates you may wish to consult DCAS whose website you can access here: http://www.nyc.gov/dcas.",11090,91,14,City Government,"['civil service commission', 'appeals']",2024-07-01T16:17:44+0000,2024-07-01T16:32:22+0000,2024-07-01T16:29:30+0000,2024-07-01T16:31:57+0000,data.cityofnewyork.us,,https://data.cityofnewyork.us/d/axvu-zc97,https://data.cityofnewyork.us/resource/axvu-zc97
4b4i-vvec,2023 Yellow Taxi Trip Data,Taxi and Limousine Commission (TLC),"These records are generated from the trip record submissions made by yellow taxi Technology Service Providers (TSPs). Each row represents a single trip in a yellow taxi. The trip records include fields capturing pick-up and drop-off dates/times, pick-up and drop-off taxi zone locations, trip distances, itemized fares, rate types, payment types, and driver-reported passenger counts.",38310226,293,154,Transportation,"['yellow taxi', 'trip data', 'fhv', 'trip', 'base', 'high volume', 'uber', 'lyft', 'via']",2024-07-01T15:53:40+0000,2024-07-16T18:37:53+0000,2024-07-01T20:32:33+0000,2024-07-16T18:35:01+0000,data.cityofnewyork.us,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,https://data.cityofnewyork.us/d/4b4i-vvec,https://data.cityofnewyork.us/resource/4b4i-vvec
peyi-gg4n,2023 Green Taxi Trip Data,Taxi and Limousine Commission (TLC),"These records are generated from the trip record submissions made by green taxi Technology Service Providers (TSPs). Each row represents a single trip in a green taxi. The trip records include fields capturing pick-up and drop-off dates/times, pick-up and drop-off taxi zone locations, trip distances, itemized fares, rate types, payment types, and driver-reported passenger counts.",787060,111,34,Transportation,"['trip data', 'green taxi', 'fhv', 'trip', 'base', 'high volume', 'uber', 'lyft', 'via']",2024-06-26T20:58:45+0000,2024-07-16T18:38:47+0000,2024-06-26T21:24:37+0000,2024-07-16T18:38:21+0000,data.cityofnewyork.us,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,https://data.cityofnewyork.us/d/peyi-gg4n,https://data.cityofnewyork.us/resource/peyi-gg4n
wq7q-htne,NYC Greenhouse Gas Emissions Inventory,Mayor's Office of Climate and Environmental Justice (MOCEJ),The Inventory of New York City Greenhouse Gas Emissions is an annual report that measures where emissions come from and tracks the City’s progress in reducing them. You can find the inventories on the MOCEJ website: https://climate.cityofnewyork.us/initiatives/nyc-greenhouse-gas-inventories/,56,319,74,Environment,"['greenhouse gas emissions', 'greenhouse', 'fuel', 'electricity', 'gas']",2024-06-21T17:36:02+0000,2024-06-26T16:50:48+0000,2024-06-24T20:27:20+0000,2024-06-26T16:50:48+0000,data.cityofnewyork.us,https://climate.cityofnewyork.us/initiatives/nyc-greenhouse-gas-inventories,https://data.cityofnewyork.us/d/wq7q-htne,https://data.cityofnewyork.us/resource/wq7q-htne
jagj-gttd,Pedestrian Ramp Complaints,Department of Transportation (DOT),This dataset tracks corner and pedestrian ramp complaints and their temporary repair status. Temporary repairs may include but are not limited to the use of asphalt on corners and pedestrian ramps.,3950,72,7,Transportation,"['corner', 'pedestrian', 'ramp', 'ramps', 'complaint', 'service request', 'intersection']",2024-06-20T15:35:01+0000,2024-07-31T19:31:45+0000,2024-06-21T17:59:52+0000,2024-07-31T19:31:25+0000,data.cityofnewyork.us,,https://data.cityofnewyork.us/d/jagj-gttd,https://data.cityofnewyork.us/resource/jagj-gttd
3aje-fhc5,Elected Official Agency Engagement Form,Office of the Mayor,"The dataset contains the date/time of the request; the name, position, and email of the requestor; the name and email of the elected official; and the name(s) of the city agency/agencies they are requesting to engage.

https://www.nyc.gov/office-of-the-mayor/elected-officials-engagement-request.page",567,345,68,City Government,"['counsel', 'mayor office', 'engagement', 'engagement form', 'public officials']",2024-06-17T19:38:04+0000,2024-07-11T20:28:30+0000,2024-06-17T19:53:53+0000,2024-07-11T20:28:02+0000,data.cityofnewyork.us,,https://data.cityofnewyork.us/d/3aje-fhc5,https://data.cityofnewyork.us/resource/3aje-fhc5
3vyj-dkjt,Safety Events,Department of Transportation (DOT),"New York City Department of Transportation hosts various safety events throughout New York City at schools, community centers, senior centers and local playground or parks. Types of events includes child passenger safety, bike safety and helmet distribution, public outreach and more to spread safety awareness.",12351,153,31,Transportation,"['school safety', 'safety events', 'school events', 'schools', 'special events', 'events']",2024-06-11T19:05:43+0000,2024-08-07T15:22:46+0000,2024-08-07T15:22:52+0000,2024-08-07T15:22:46+0000,data.cityofnewyork.us,,https://data.cityofnewyork.us/d/3vyj-dkjt,https://data.cityofnewyork.us/resource/3vyj-dkjt
6eng-46dm,Staten Island Ferry Ridership Counts,Department of Transportation (DOT),"This dataset contains the daily number of Staten Island Ferry riders at the Whitehall and St. George terminals. For a more detailed breakdown of riders on each trip, including information on riders with bicycles, visit <a href=""https://nycdot.sharepoint.com/:f:/s/publicshare/Ep9DPo0iX69CgXdnffDPbWoBCkR338cwjHzZs3QQNBNmxQ?e=hkT312"">this site</a>.",2077,2394,38,Transportation,,2024-05-28T20:32:24+0000,2024-08-08T17:34:56+0000,2024-08-08T17:34:56+0000,2024-08-08T17:34:56+0000,data.cityofnewyork.us,,https://data.cityofnewyork.us/d/6eng-46dm,https://data.cityofnewyork.us/resource/6eng-46dm
9dab-x6kn,Emergency Lock-In Data,Department of Correction (DOC),"The dataset comprises details on emergency lock-in incidents that took place within DOC facilities throughout the reporting period. It includes information such as the date and time, facility, housing area, and the reason for the emergency lock-in incidents.",6538,49,13,Public Safety,"['doc', 'lock', 'lock in', 'lock-in', 'emergency']",2024-05-22T19:56:28+0000,2024-07-31T19:45:32+0000,2024-05-22T20:09:41+0000,2024-07-31T19:45:12+0000,data.cityofnewyork.us,,https://data.cityofnewyork.us/d/9dab-x6kn,https://data.cityofnewyork.us/resource/9dab-x6kn
v988-8fd7,NYC Climate Budgeting Report: Forecasted Avoided Health Events,Office of Management & Budget (OMB),"This dataset contains the cumulative estimated health benefits due to reductions in fine particulates or particulate matter less than 2.5 micrometers in diameter (PM2.5) from 2023 to 2050. The Mayor’s Office of Management and Budget (OMB) obtained the health events avoided values through collaboration with the NYC Health Department. The reductions in PM2.5 are the same reductions found in the <a href=https://data.cityofnewyork.us/City-Government/NYC-Climate-Budgeting-Report-Forecast-of-Emissions/3z69-v9cd"" rel=""noopener noreferrer"" target=""_blank"">""Forecasted Emissions and PM2.5 Reductions from City Actions""</a> dataset. For any additional detail please refer to section 6 of the New York City Climate Budgeting Technical Appendices (https://www.nyc.gov/assets/omb/downloads/pdf/exec24-nyccbta.pdf).  This dataset is going to be updated once a year during the Executive Budget.

You can find the complete collection of Climate Budget data by <a href=""https://data.cityofnewyork.us/browse?Data-Collection_Data-Collection=Climate+Budgeting"" rel=""noopener noreferrer"" target=""_blank"">clicking here.</a>",10,128,41,City Government,"['nyc omb', 'climate budgeting', 'executive budget', 'avoided health events forecast']",2024-05-17T17:00:15+0000,2024-06-12T15:46:07+0000,2024-06-06T20:06:49+0000,2024-06-12T15:46:07+0000,data.cityofnewyork.us,,https://data.cityofnewyork.us/d/v988-8fd7,https://data.cityofnewyork.us/resource/v988-8fd7
umve-k9rk,NYC Climate Budgeting Report: Emission Factors,Office of Management and Budget (OMB),"This dataset contains forecasted emissions factors for electricity generation and transportation. These factors are used to convert activity data to particulate matter 2.5 (PM2.5) emissions and metric ton of carbon dioxide equivalent (mTCO2e). This dataset can be applied to <a href=""https://data.cityofnewyork.us/City-Government/NYC-Climate-Budgeting-Report-Forecast-of-Emissions/3z69-v9cd"" target=""_blank"">""Forecast of Emissions and PM 2.5 Reductions from City Actions"" </a>and the <a href=""https://data.cityofnewyork.us/City-Government/NYC-Climate-Budgeting-Report-Forecast-of-Citywide-/czei-7bxd"" target=""_blank"">""Forecast of Citywide Emissions"" </a>dataset to convert from activity data to emissions. For any additional detail please refer to section 6 of the New York City Climate Budgeting Technical Appendices (https://www.nyc.gov/assets/omb/downloads/pdf/exec24-nyccbta.pdf). This dataset is going to be updated once a year during the Executive Budget.

You can find the complete collection of Climate Budget data by <a href=""https://data.cityofnewyork.us/browse?Data-Collection_Data-Collection=Climate+Budgeting"" rel=""noopener noreferrer"" target=""_blank"">clicking here.</a>",3416,138,31,,"['nyc omb', 'climate budgeting', 'executive budget', 'emissions']",2024-05-16T21:18:29+0000,2024-06-12T15:26:36+0000,2024-06-06T20:25:22+0000,2024-06-12T15:26:36+0000,data.cityofnewyork.us,https://www.nyc.gov/site/omb/publications/budget-reports.page?report=Climate%20Budgeting,https://data.cityofnewyork.us/d/umve-k9rk,https://data.cityofnewyork.us/resource/umve-k9rk
yvbp-zcpt,NYC Climate Budgeting Report: New Climate Investments And Reallocations In Executive Plan,Office of Management and Budget (OMB),"List of capital and expense programs with a positive climate impact that are newly funded or reallocated in the current budget, in millions of dollars. Expense data is only reported for one year. Capital data is reported for the plan window. This dataset will be updated once per year with the release of the Executive Budget.

This data can be used to create visualizations similar to the tables featured in the Climate Investments section of the FY25 New York City Climate Budgeting publication (https://www.nyc.gov/assets/omb/downloads/pdf/exec24-nyccb.pdf).

You can find the complete collection of Climate Budget data by <a href=""https://data.cityofnewyork.us/browse?Data-Collection_Data-Collection=Climate+Budgeting"" rel=""noopener noreferrer"" target=""_blank"">clicking here.</a>",19,101,51,City Government,"['climate budgeting', 'new climate investment and allocations', 'executive plan', 'budget']",2024-05-16T21:05:57+0000,2024-06-12T16:04:12+0000,2024-06-11T19:01:05+0000,2024-06-12T16:02:10+0000,data.cityofnewyork.us,https://www.nyc.gov/site/omb/publications/budget-reports.page?report=Climate%20Budgeting,https://data.cityofnewyork.us/d/yvbp-zcpt,https://data.cityofnewyork.us/resource/yvbp-zcpt
3z69-v9cd,NYC Climate Budgeting Report: Forecast of Emissions and PM 2.5 Reductions from City Actions,Office of Management and Budget (OMB),"This dataset contains the estimated greenhouse gas emissions and particulate matter reductions from city actions. Mayor’s Office of Management and Budget's (OMB) Environmental Sustainability and Resiliency (ESR) Taskforce analyzed a set of city actions, a collection of policies and commitments the city is making to reduce citywide emissions to complete the New York City (NYC) forecast. The city actions and a short description of them can be found in figure 3.36 in the ""New York City’s Anticipated Progress"" sub-section of the FY25 New York City Climate Budgeting publication (https://www.nyc.gov/assets/omb/downloads/pdf/exec24-nyccb.pdf).  For additional detail of city actions, please refer to sections 6.b., 6.c., 6.d., 6.e., and 6.f. of the New York City Climate Budgeting Technical Appendices (https://www.nyc.gov/assets/omb/downloads/pdf/exec24-nyccbta.pdf). This dataset is going to be updated once a year during the Executive Budget.

You can find the complete collection of Climate Budget data by<a href=""https://data.cityofnewyork.us/browse?Data-Collection_Data-Collection=Climate+Budgeting"" rel=""noopener noreferrer"" target=""_blank""> clicking here.</a>",101556,148,36,City Government,"['nyc omb', 'climate budgeting', 'excutive budget', 'emissions', 'pm 2.5', 'city actions', 'reduction forecast']",2024-05-16T20:31:34+0000,2024-06-12T17:55:08+0000,2024-06-06T20:33:45+0000,2024-06-12T17:55:08+0000,data.cityofnewyork.us,https://www.nyc.gov/site/omb/publications/budget-reports.page?report=Climate%20Budgeting,https://data.cityofnewyork.us/d/3z69-v9cd,https://data.cityofnewyork.us/resource/3z69-v9cd
dnpx-dfnc,School Quality Reports Data,Department of Education (DOE),"This report shares information about school performance, sets expectations for schools, and promotes school improvement.

School Quality Report Educator Guides can be found <a href=""https://infohub.nyced.org/reports/students-and-schools/school-quality/school-quality-reports-and-resources/educator-guide-to-school-quality-guide"">here</a>.",1053525,184,115,Education,"['doe', 'quality review', 'school', 'quality report', 'school quality report']",2024-05-16T19:23:37+0000,2024-08-07T21:13:49+0000,2024-07-01T20:40:55+0000,2024-08-07T21:13:49+0000,data.cityofnewyork.us,https://infohub.nyced.org/reports/students-and-schools/school-quality/school-quality-reports-and-resources/school-quality-report-citywide-data,https://data.cityofnewyork.us/d/dnpx-dfnc,https://data.cityofnewyork.us/resource/dnpx-dfnc
5bsb-haw5,NYC Climate Budgeting Report: Climate Funding Expense Highlights,Office of Management and Budget (OMB),"Noncomprehensive list of programs with a positive climate impact, in millions of dollars. This dataset will be updated once per year with the release of the Executive Budget.

You can find the complete collection of Climate Budget data by <a href=""https://data.cityofnewyork.us/browse?Data-Collection_Data-Collection=Climate+Budgeting"" rel=""noopener noreferrer"" target=""_blank"">clicking here.</a>",8,102,20,City Government,"['climate budgeting', 'executive plan', 'budget']",2024-05-16T17:57:47+0000,2024-06-12T16:02:49+0000,2024-06-12T15:58:10+0000,2024-06-12T15:58:07+0000,data.cityofnewyork.us,https://www.nyc.gov/site/omb/publications/budget-reports.page?report=Climate%20Budgeting,https://data.cityofnewyork.us/d/5bsb-haw5,https://data.cityofnewyork.us/resource/5bsb-haw5
czei-7bxd,NYC Climate Budgeting Report: Forecast of Citywide Emissions,Office of Management and Budget (OMB),"This dataset contains the estimated emissions and activity remaining in each of the modeled scenarios. For more detail on the changes from forecast year to forecast year, please refer to  <a href=""https://data.cityofnewyork.us/City-Government/NYC-Climate-Budgeting-Report-Forecast-of-Emissions/3z69-v9cd"" rel=""noopener noreferrer"" target=""_blank"">""Forecast of Emissions and PM 2.5 Reductions from City Actions""</a>  dataset as this contains the reductions for each scenario. For more detail on the conversion from activity value to emissions, please refer to the  <a href=https://data.cityofnewyork.us/dataset/NYC-Climate-Budgeting-Report-Emission-Factors/umve-k9rk"" rel=""noopener noreferrer"" target=""_blank"">""Emissions Factors""</a> dataset.  This dataset is going to be updated once a year during the Executive Budget.

You can find the complete collection of Climate Budget data by <a href=""https://data.cityofnewyork.us/browse?Data-Collection_Data-Collection=Climate+Budgeting"" rel=""noopener noreferrer"" target=""_blank"">clicking here.</a>",8148,131,28,City Government,"['nyc omb', 'climate budgeting', 'excutive budget', 'citywide emissions forecast']",2024-05-16T17:02:37+0000,2024-06-12T17:56:57+0000,2024-06-06T20:42:01+0000,2024-06-12T17:56:57+0000,data.cityofnewyork.us,https://www.nyc.gov/site/omb/publications/budget-reports.page?report=Climate%20Budgeting,https://data.cityofnewyork.us/d/czei-7bxd,https://data.cityofnewyork.us/resource/czei-7bxd
c99a-c5ux,NYC Climate Budgeting Report: Climate Alignment Assessment and Capital Climate Investments,Office of Management and Budget (OMB),"This dataset rates all projects in the capital budget with over $50,000 with their climate alignment and categorizes investments that are related to climate. Amounts are in thousands. This dataset will be updated once a year during the Executive Budget.

This data can be used to create visualizations similar to the charts featured in the Climate Investments section of the FY25 New York City Climate Budgeting publication (https://www.nyc.gov/assets/omb/downloads/pdf/exec24-nyccb.pdf).

You can find the complete collection of Climate Budget data by <a href=""https://data.cityofnewyork.us/browse?Data-Collection_Data-Collection=Climate+Budgeting"" rel=""noopener noreferrer"" target=""_blank"">clicking here.</a>",12765,128,36,City Government,"['climate budgeting', 'executive budget', 'climate alignment assessment', 'capital climate investments']",2024-05-15T21:15:10+0000,2024-06-12T16:02:54+0000,2024-06-11T18:42:13+0000,2024-06-12T15:55:48+0000,data.cityofnewyork.us,https://www.nyc.gov/site/omb/publications/budget-reports.page?report=Climate%20Budgeting,https://data.cityofnewyork.us/d/c99a-c5ux,https://data.cityofnewyork.us/resource/c99a-c5ux
ic46-fvh8,NYC Climate Budgeting Report: Avoided Health Events By NTA,Office of Management and Budget (OMB),"This dataset contains the estimated number of cumulative health events avoided per neighborhood tabulation area (NTA) resident due to reductions in fine particulates or particulate matter less than 2.5 micrometers in diameter (PM2.5). The Mayor’s Office of Management and Budget (OMB) obtained the health events avoided value through collaboration with the New York City (NYC) Health Department. The reductions in PM2.5 are the same reductions found in the  <a href=""https://data.cityofnewyork.us/City-Government/NYC-Climate-Budgeting-Report-Forecast-of-Emissions/3z69-v9cd"" rel=""noopener noreferrer"" target=""_blank"">""Forecasted Emissions and PM2.5 Reductions from City Actions""</a> dataset.  This dataset uses the same data included in the  <a href=""https://data.cityofnewyork.us/City-Government/NYC-Climate-Budgeting-Report-Forecasted-Avoided-He/v988-8fd7"" rel=""noopener noreferrer"" target=""_blank"">""Forecasted Avoided Health Events""</a>, the main difference is that this dataset is mapped geographically. For any additional detail about PM2.5, refer to the ""Impact of Fossil Fuel Use on Air Quality and Health"" sub-section of the FY25 New York City Climate Budgeting publication (https://www.nyc.gov/assets/omb/downloads/pdf/exec24-nyccb.pdf).

You can find the complete collection of Climate Budget data by <a href=""https://data.cityofnewyork.us/browse?Data-Collection_Data-Collection=Climate+Budgeting"" rel=""noopener noreferrer"" target=""_blank"">clicking here.</a>",524,106,24,City Government,"['nyc omb', 'climate budgeting', 'executive budget', 'health events', 'nta']",2024-05-15T16:56:05+0000,2024-06-12T15:48:51+0000,2024-06-06T20:38:36+0000,2024-06-12T15:48:51+0000,data.cityofnewyork.us,https://www.nyc.gov/site/omb/publications/budget-reports.page?report=Climate%20Budgeting,https://data.cityofnewyork.us/d/ic46-fvh8,https://data.cityofnewyork.us/resource/ic46-fvh8
br6q-ssj3,Housing Database Project Level Files - Inactive Included,Department of City Planning (DCP),"The NYC Department of City Planning’s (DCP) Housing Database contains all NYC Department of Buildings (DOB)-approved housing construction and demolition jobs filed or completed in NYC since January 1, 2010, this version also includes inactive jobs. It includes all three construction job types that add or remove residential units: new buildings, major alterations, and demolitions, and can be used to determine the change in legal housing units across time and space. Records in the Housing Database are geocoded to the greatest level of precision possible, subject to numerous quality assurance and control checks, recoded for usability, and joined to other housing data sources relevant to city planners and analysts.

There are two versions of the project level Housing Database:
1) HousingDB_post2010 - all active and completed jobs
2) HousingDB_post2010_inactive_included - all active, completed jobs and inactive jobs (includes withdrawn, stalled, or duplicate jobs)

Data are updated semiannually, at the end of the second and fourth quarters of each year.

Please see DCP’s annual Housing Production Snapshot summarizing findings from the 22Q4 data release <a href=""https://storymaps.arcgis.com/stories/1c9138dc24064b2e8142ff156345a719"">here</a>. Additional Housing and Economic analyses are also <a href=""https://www.nyc.gov/site/planning/planning-level/housing-economy/housing-economy.page"">available</a>.

All previously released versions of this data are available at <a href=""https://www.nyc.gov/site/planning/data-maps/open-data/bytes-archive.page?sorts%255byear%255d=0"">BYTES of the BIG APPLE- Archive</a>.",100107,220,102,Housing & Development,"['housing', 'house', 'building', 'development', 'dwelling unit', 'certificate of occupancy', 'permit', 'job application', 'filing', 'net units', 'unit change', 'pipeline', 'construction', 'census block', 'census tract', 'nta', 'puma', 'city council district', 'community district', 'inactive']",2024-05-13T15:02:51+0000,2024-05-30T16:00:15+0000,2024-05-13T15:18:32+0000,2024-05-30T16:00:15+0000,data.cityofnewyork.us,https://capitalplanning.nyc.gov/map/housing,https://data.cityofnewyork.us/d/br6q-ssj3,https://data.cityofnewyork.us/resource/br6q-ssj3
i7jb-7jku,Public Restrooms,"Department of Parks and Recreation (DPR), Department of Transportation (DOT), Department of City Planning (DCP), Mayor's Office of Operations, New York Public Library (NYPL), Brooklyn Public Library (BPL), Queens Public Library (QPL), Metropolitan Transportation Authority (MTA)","This dataset contains information about the public restrooms in New York City. Each row contains as much of the following information as is currently available: the name of the restroom, location information (including geographic coordinates), the location type, operator, any seasonality, hours of operation, ADA accessibility level for facility, the number and gender designation of the stalls, changing stations availability in each restroom, and any specific notes regarding access or location. 

Note: Public restroom availability is subject to change due to maintenance needs, construction, or other factors. This dataset may not reflect real time conditions.",1047,3762,142,City Government,['public restrooms'],2024-05-09T18:22:54+0000,2024-06-06T16:13:52+0000,2024-06-06T16:13:53+0000,2024-06-06T16:13:52+0000,data.cityofnewyork.us,https://on.nyc.gov/restrooms,https://data.cityofnewyork.us/d/i7jb-7jku,https://data.cityofnewyork.us/resource/i7jb-7jku
